scorecard_id,n_points_blue,n_points_red,winner,n_rounds
81,50,35,blue,5
82,50,36,blue,5
83,50,37,blue,5
53,47,38,blue,5
62,48,38,blue,5
72,49,38,blue,5
84,50,38,blue,5
54,47,39,blue,5
63,48,39,blue,5
73,49,39,blue,5
85,50,39,blue,5
55,47,40,blue,5
64,48,40,blue,5
74,49,40,blue,5
86,50,40,blue,5
41,44,41,blue,5
44,45,41,blue,5
48,46,41,blue,5
56,47,41,blue,5
65,48,41,blue,5
75,49,41,blue,5
87,50,41,blue,5
42,44,42,blue,5
45,45,42,blue,5
49,46,42,blue,5
57,47,42,blue,5
66,48,42,blue,5
76,49,42,blue,5
88,50,42,blue,5
43,44,43,blue,5
46,45,43,blue,5
50,46,43,blue,5
58,47,43,blue,5
67,48,43,blue,5
77,49,43,blue,5
89,50,43,blue,5
47,45,44,blue,5
51,46,44,blue,5
59,47,44,blue,5
68,48,44,blue,5
78,49,44,blue,5
90,50,44,blue,5
92,41,44,red,5
93,42,44,red,5
94,43,44,red,5
143,44,44,tie,5
52,46,45,blue,5
60,47,45,blue,5
69,48,45,blue,5
79,49,45,blue,5
91,50,45,blue,5
95,41,45,red,5
96,42,45,red,5
97,43,45,red,5
98,44,45,red,5
144,45,45,tie,5
61,47,46,blue,5
70,48,46,blue,5
80,49,46,blue,5
99,41,46,red,5
100,42,46,red,5
101,43,46,red,5
102,44,46,red,5
103,45,46,red,5
145,46,46,tie,5
71,48,47,blue,5
104,38,47,red,5
105,39,47,red,5
106,40,47,red,5
107,41,47,red,5
108,42,47,red,5
109,43,47,red,5
110,44,47,red,5
111,45,47,red,5
112,46,47,red,5
146,47,47,tie,5
113,38,48,red,5
114,39,48,red,5
115,40,48,red,5
116,41,48,red,5
117,42,48,red,5
118,43,48,red,5
119,44,48,red,5
120,45,48,red,5
121,46,48,red,5
122,47,48,red,5
123,38,49,red,5
124,39,49,red,5
125,40,49,red,5
126,41,49,red,5
127,42,49,red,5
128,43,49,red,5
129,44,49,red,5
130,45,49,red,5
131,46,49,red,5
132,35,50,red,5
133,36,50,red,5
134,37,50,red,5
135,38,50,red,5
136,39,50,red,5
137,40,50,red,5
138,41,50,red,5
139,42,50,red,5
140,43,50,red,5
141,44,50,red,5
142,45,50,red,5
