,fight_id,round,SMA_blue,SSHL_blue,RVL_blue,SGA_blue,SML_blue,GRC_blue,TDL_blue,SSA_blue,FT_blue,SGBL_blue,SUL_blue,KDL_blue,SSBL_blue,SSBA_blue,SGBA_blue,TDA_blue,SGHL_blue,SSHA_blue,KOL_blue,ST_blue,SGHA_blue,SMA_red,SSHL_red,RVL_red,SGA_red,SML_red,GRC_red,TDL_red,SSA_red,FT_red,SGBL_red,SUL_red,KDL_red,SSBL_red,SSBA_red,SGBA_red,TDA_red,SGHL_red,SSHA_red,KOL_red,ST_red,SGHA_red,blue,red
0,7820,1,0,12,0,0,0,0,0,69,0,0,0,0,1,5,0,0,0,55,0,300,0,0,20,0,0,0,0,0,69,0,0,0,0,3,6,0,0,0,63,0,300,0,459,361
1,7820,2,0,17,0,0,0,11,1,68,11,0,0,0,5,9,0,2,0,54,0,289,0,0,18,0,0,0,0,0,57,11,0,1,0,3,4,0,0,0,52,0,289,0,459,361
2,7820,3,0,23,0,0,0,0,0,71,0,0,0,0,7,7,0,0,0,61,0,299,0,0,18,0,0,0,0,0,51,0,0,0,0,2,2,0,0,0,49,0,299,0,459,361
0,7986,1,0,1,0,0,0,11,0,5,11,0,0,0,0,0,0,0,0,4,0,46,0,1,1,0,0,1,0,0,8,11,0,0,0,0,0,0,0,0,7,0,46,0,459,509
0,7236,1,0,4,0,0,0,0,0,25,2,0,0,0,3,3,0,1,0,20,0,138,0,1,6,0,0,1,2,0,29,2,0,0,0,1,2,0,0,0,18,0,138,0,459,1531
0,8960,1,0,21,0,0,0,48,1,44,48,0,0,0,5,5,0,2,0,36,0,219,0,0,26,0,0,0,0,0,66,48,0,1,0,4,10,0,0,0,55,0,219,0,459,1711
1,8960,2,0,4,0,1,0,45,1,23,45,0,0,0,6,6,0,4,0,15,0,191,0,0,11,0,2,0,31,0,25,45,0,1,0,1,1,0,0,2,24,0,191,2,459,1711
2,8960,3,1,4,0,2,0,141,1,19,141,0,0,0,1,1,0,1,2,18,0,73,2,0,10,0,3,0,86,0,30,141,0,1,0,0,1,0,0,3,29,0,73,3,459,1711
0,6102,1,0,12,0,0,0,0,0,55,0,0,0,1,1,4,0,3,0,47,0,300,0,0,4,0,0,0,0,0,29,0,0,1,0,1,2,0,0,0,27,0,300,0,459,2238
1,6102,2,0,16,0,0,0,0,0,72,0,0,0,0,6,7,0,3,0,62,0,298,0,0,20,0,0,0,0,0,77,0,0,0,0,5,7,0,0,0,70,0,298,0,459,2238
