,fight_id,round,FT_blue,SMA_blue,SUL_blue,GRC_blue,SGHL_blue,SSA_blue,KDL_blue,SGBA_blue,ST_blue,SGHA_blue,KOL_blue,TDL_blue,SGBL_blue,RVL_blue,SGA_blue,SSHL_blue,SSBA_blue,SSBL_blue,TDA_blue,SML_blue,SSHA_blue,FT_red,SMA_red,SUL_red,GRC_red,SGHL_red,SSA_red,KDL_red,SGBA_red,ST_red,SGHA_red,KOL_red,TDL_red,SGBL_red,RVL_red,SGA_red,SSHL_red,SSBA_red,SSBL_red,TDA_red,SML_red,SSHA_red,blue,red
0,7986,1,11,1,0,0,0,8,0,0,46,0,0,0,0,0,0,1,0,0,0,1,7,11,0,0,11,0,5,0,0,46,0,0,0,0,0,0,1,0,0,0,0,4,509,459
0,7587,1,47,0,0,0,0,2,0,0,28,0,0,0,0,0,0,0,0,0,0,0,1,47,1,0,47,0,1,0,0,28,0,0,1,0,0,0,0,0,0,1,1,0,509,1531
0,11170,1,0,0,0,0,0,46,0,0,300,0,0,0,0,0,0,9,4,2,0,0,35,0,0,0,0,0,83,0,0,300,0,0,0,0,0,0,26,19,12,0,0,57,509,1683
1,11170,2,0,0,0,0,0,53,0,0,300,0,0,0,0,0,0,9,6,3,0,0,37,0,0,0,0,0,115,0,0,300,0,0,0,0,0,0,45,19,13,0,0,88,509,1683
2,11170,3,0,0,2,0,0,45,0,0,246,0,0,0,0,0,0,11,8,5,0,0,31,0,0,0,29,11,105,1,1,246,15,0,1,1,0,16,54,17,14,1,0,85,509,1683
0,5248,1,137,2,0,9,0,19,0,0,151,0,0,0,0,0,0,3,1,1,0,0,14,137,0,0,137,3,34,0,0,151,5,0,0,0,0,5,7,7,4,1,0,22,509,2168
1,5248,2,253,1,0,3,0,3,0,0,43,0,0,0,0,1,0,0,0,0,0,0,2,253,1,1,253,3,7,0,0,43,4,0,1,0,0,4,1,4,3,1,0,3,509,2168
2,5248,3,257,0,1,0,0,5,0,0,44,0,0,0,0,0,0,1,0,0,0,0,3,257,0,0,257,1,3,0,0,44,1,0,1,0,0,1,2,1,0,2,0,2,509,2168
0,7380,1,0,1,0,19,7,15,0,0,71,9,0,1,0,0,9,4,2,2,1,1,10,0,0,0,0,0,14,0,0,71,0,0,0,0,0,0,3,3,2,0,0,11,509,2216
0,11766,1,6,1,0,0,0,24,0,0,158,0,0,0,0,0,0,5,2,2,0,1,19,6,0,0,6,0,31,0,0,158,0,0,0,0,0,0,8,12,6,3,0,17,509,2315
0,8318,1,0,0,0,0,1,45,0,0,300,1,0,0,0,0,1,10,4,3,1,0,34,0,0,0,0,0,54,0,0,300,0,0,0,0,0,0,13,5,2,0,0,45,509,2558
1,8318,2,102,0,1,0,2,21,0,0,170,2,0,0,0,0,2,4,3,3,1,0,15,102,0,0,102,8,47,0,0,170,12,0,1,0,0,12,20,0,0,1,0,43,509,2558
2,8318,3,0,0,0,0,0,52,0,0,302,0,0,0,0,0,0,16,8,7,0,0,41,0,0,0,0,0,84,0,0,302,0,0,0,0,0,0,36,3,3,0,0,80,509,2558
0,10401,1,0,0,0,0,0,70,0,0,300,0,0,0,0,0,0,12,10,8,0,0,53,0,0,0,0,0,66,0,0,300,0,0,0,0,0,0,14,15,12,0,0,43,509,3058
1,10401,2,0,0,0,0,0,50,0,0,299,0,0,0,0,0,0,9,7,3,1,0,39,0,0,0,0,0,74,0,0,299,0,0,0,0,0,0,21,16,12,0,0,55,509,3058
2,10401,3,11,1,1,36,0,65,0,0,250,0,0,0,0,0,0,11,8,5,0,0,45,11,0,0,11,5,86,0,2,250,6,0,0,2,1,8,22,17,13,1,0,65,509,3058
0,7236,1,2,0,0,0,0,25,0,0,138,0,0,0,0,0,0,4,3,3,1,0,20,2,1,0,2,0,29,0,0,138,0,0,0,0,0,0,6,2,1,0,1,18,459,1531
0,8960,1,48,0,0,48,0,44,0,0,219,0,0,1,0,0,0,21,5,5,2,0,36,48,0,1,0,0,66,0,0,219,0,0,0,0,0,0,26,10,4,0,0,55,459,1711
1,8960,2,45,0,0,45,0,23,0,0,191,0,0,1,0,0,1,4,6,6,4,0,15,45,0,1,31,2,25,0,0,191,2,0,0,0,0,2,11,1,1,0,0,24,459,1711
2,8960,3,141,1,0,141,2,19,0,0,73,2,0,1,0,0,2,4,1,1,1,0,18,141,0,1,86,3,30,0,0,73,3,0,0,0,0,3,10,1,0,0,0,29,459,1711
