,fight_id,round,SSHA_blue,TDL_blue,SML_blue,RVL_blue,SGA_blue,SGHL_blue,SSBL_blue,SSHL_blue,TDA_blue,KOL_blue,SUL_blue,GRC_blue,SSBA_blue,FT_blue,KDL_blue,SGBA_blue,SGBL_blue,SGHA_blue,ST_blue,SMA_blue,SSA_blue,SSHA_red,TDL_red,SML_red,RVL_red,SGA_red,SGHL_red,SSBL_red,SSHL_red,TDA_red,KOL_red,SUL_red,GRC_red,SSBA_red,FT_red,KDL_red,SGBA_red,SGBL_red,SGHA_red,ST_red,SMA_red,SSA_red,blue,red
0,6587,1,19,0,0,0,0,0,3,6,1,0,0,0,5,0,0,0,0,0,301,0,27,12,0,0,0,0,0,4,3,0,0,0,0,14,0,0,0,0,0,301,0,43,1499,1865
1,6587,2,3,1,1,0,11,7,0,2,1,0,0,108,0,0,0,1,1,10,24,1,3,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,24,0,2,1499,1865
0,11173,1,38,0,0,0,0,0,7,10,0,0,0,0,10,0,0,0,0,0,300,0,57,37,0,0,0,0,0,6,14,0,0,0,0,18,0,0,0,0,0,300,0,57,1499,2984
1,11173,2,62,0,0,0,0,0,10,30,0,0,0,0,12,0,0,0,0,0,300,0,79,73,0,0,0,0,0,4,25,1,0,0,0,7,0,0,0,0,0,300,0,80,1499,2984
2,11173,3,122,0,0,0,1,1,15,57,2,0,0,2,17,0,1,0,0,1,294,0,139,103,0,0,0,0,0,9,46,0,0,1,0,10,0,0,0,0,0,294,0,113,1499,2984
0,11233,1,14,1,0,0,10,8,2,8,3,0,0,149,2,0,0,0,0,10,112,0,26,15,0,0,0,1,1,1,4,0,0,1,0,2,0,0,0,0,1,112,0,17,1865,3702
1,11233,2,4,0,0,0,3,2,0,1,0,1,0,4,0,0,1,0,0,3,56,0,7,8,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,56,0,9,1865,3702
0,10712,1,14,0,0,0,0,0,0,3,0,0,0,0,3,0,0,0,0,0,78,0,18,21,0,0,0,7,0,0,5,0,1,0,4,0,0,1,0,0,7,78,0,26,2984,1890
0,10253,1,6,0,0,0,0,0,0,2,1,0,2,2,0,115,0,0,0,0,118,0,6,4,2,0,0,1,1,0,3,6,0,0,115,0,115,0,0,0,1,118,0,5,2984,2765
1,10253,2,24,0,0,0,10,9,2,11,0,1,0,7,2,0,1,0,0,10,55,0,26,18,0,0,0,0,0,0,3,2,0,0,0,1,0,0,0,0,0,55,0,20,2984,2765
0,10452,1,46,0,0,0,0,0,7,34,1,0,1,0,7,5,0,0,0,0,140,0,53,29,1,0,0,0,0,3,18,3,0,0,5,4,5,0,0,0,0,140,0,37,2984,2780
1,10452,2,17,0,1,0,0,0,11,10,0,0,0,0,11,0,0,0,0,0,81,1,28,17,0,0,0,0,0,4,7,1,0,0,0,4,0,0,0,0,0,81,0,21,2984,2780
0,7706,1,11,0,0,0,4,3,2,7,0,0,1,106,2,9,0,0,0,4,186,0,13,13,1,0,0,0,0,0,1,8,0,0,9,1,9,0,0,0,0,186,1,18,2984,2834
1,7706,2,16,0,0,0,17,12,2,4,0,0,0,57,3,2,0,2,2,15,221,0,19,18,0,0,0,0,0,7,3,4,0,0,2,10,2,0,0,0,0,221,0,29,2984,2834
2,7706,3,10,0,0,0,8,5,1,2,0,0,0,97,1,2,0,0,0,8,158,0,11,20,0,1,1,0,0,6,2,4,0,0,2,9,2,0,0,0,0,158,1,30,2984,2834
0,9982,1,5,2,0,0,3,2,0,0,4,0,0,199,0,0,0,1,1,2,44,0,5,1,0,0,0,0,0,1,0,3,0,2,0,1,0,0,0,0,0,44,0,2,2984,2936
1,9982,2,4,2,0,0,0,0,1,1,2,0,0,268,3,0,0,0,0,0,19,0,7,8,0,0,0,0,0,2,4,0,0,2,0,2,0,0,0,0,0,19,0,10,2984,2936
2,9982,3,8,1,0,0,18,14,0,1,1,1,0,107,2,0,0,0,0,18,30,1,10,4,0,0,0,0,0,1,0,0,0,0,0,2,0,0,0,0,0,30,0,7,2984,2936
0,7981,1,25,0,0,0,0,0,2,6,0,0,0,0,6,0,0,0,0,0,281,0,32,22,0,0,0,0,0,2,11,1,0,0,0,2,0,0,0,0,0,281,0,43,2984,3067
1,7981,2,37,0,0,0,3,3,8,14,0,0,1,0,12,0,0,0,0,3,279,0,51,19,1,0,0,0,0,3,2,1,0,0,11,4,0,0,0,0,0,279,0,43,2984,3067
2,7981,3,37,0,0,0,0,0,0,15,0,0,3,0,0,0,0,0,0,0,214,0,37,36,3,0,0,3,2,2,6,8,0,0,16,3,0,0,0,0,3,214,0,45,2984,3067
0,9649,1,23,0,0,0,0,0,4,12,0,0,0,0,5,0,0,0,0,0,300,0,28,28,0,0,0,0,0,2,7,0,0,0,0,3,0,0,0,0,0,300,0,44,2984,3259
1,9649,2,45,0,0,0,0,0,2,22,0,0,1,0,3,0,0,0,0,0,137,0,48,31,1,0,0,0,0,1,8,3,0,0,2,2,0,0,0,0,0,137,0,42,2984,3259
2,9649,3,109,0,0,0,0,0,5,50,0,0,0,0,5,0,0,0,0,0,255,0,114,67,0,0,0,0,0,4,21,2,0,0,5,5,0,0,0,0,0,255,0,74,2984,3259
0,9485,1,18,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,184,0,18,46,0,0,0,1,1,1,14,0,1,0,0,2,0,1,0,0,1,184,0,48,2984,3277
0,9232,1,0,0,0,0,0,0,0,0,0,0,1,0,0,4,0,0,0,0,296,0,0,1,1,0,0,0,0,0,0,1,0,0,4,0,4,0,0,0,0,296,0,1,2984,3553
1,9232,2,43,0,0,0,0,0,3,13,0,0,1,0,4,91,0,0,0,0,209,0,47,10,1,0,0,0,0,4,5,11,0,0,91,5,91,0,0,0,0,209,0,15,2984,3553
2,9232,3,33,0,0,0,0,0,0,15,0,1,0,0,0,0,0,0,0,0,20,0,33,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,20,0,2,2984,3553
0,8966,1,69,0,0,0,0,0,1,37,1,0,0,0,3,0,0,0,0,0,300,0,72,87,0,0,0,0,0,23,53,0,0,0,0,26,0,0,0,0,0,300,0,120,2984,3603
1,8966,2,67,0,0,0,8,7,0,37,0,1,0,5,1,0,1,0,0,8,194,0,68,88,0,0,0,0,0,8,48,0,0,0,0,11,0,0,0,0,0,194,0,107,2984,3603
0,11799,1,52,0,0,0,3,3,10,16,0,1,0,4,13,0,1,0,0,3,287,0,67,50,0,0,0,0,0,6,16,2,0,0,0,9,0,0,0,0,0,287,0,69,2984,3653
0,11768,1,49,0,0,0,1,1,22,27,0,1,0,0,23,0,0,0,0,1,267,0,73,22,0,0,0,0,0,2,3,1,0,0,0,3,0,0,0,0,0,267,0,34,2984,3678
0,9125,1,16,0,0,0,0,0,1,8,0,0,8,0,1,0,0,0,0,0,101,0,19,8,8,0,0,21,19,1,5,11,0,0,120,1,0,0,0,0,21,101,0,10,1890,2765
1,9125,2,58,0,0,0,0,0,4,30,0,0,1,0,4,0,0,0,0,0,250,0,68,52,1,0,0,0,0,3,16,7,0,0,30,5,0,0,0,0,0,250,0,57,1890,2765
2,9125,3,55,1,0,0,1,1,3,28,3,0,0,8,4,8,0,0,0,1,274,0,60,58,0,0,0,0,0,1,22,1,0,1,0,3,8,0,0,0,0,274,0,64,1890,2765
0,9927,1,14,0,0,0,0,0,1,6,0,1,0,0,2,0,1,0,0,0,193,0,23,26,0,0,0,0,0,1,6,0,0,0,0,4,0,0,0,0,0,193,0,39,1890,3277
0,9394,1,20,3,0,0,48,32,3,10,4,0,1,79,4,2,1,1,1,47,170,0,25,9,1,0,0,0,0,0,4,2,0,4,2,1,2,0,0,0,0,170,0,19,2765,2780
1,9394,2,9,2,0,0,10,7,0,4,3,0,0,135,0,0,0,0,0,10,96,0,9,9,0,0,0,0,0,2,0,0,0,2,0,3,0,0,0,0,0,96,0,13,2765,2780
2,9394,3,3,3,0,0,6,6,0,0,5,0,0,134,0,55,0,0,0,6,49,0,3,7,0,0,0,7,3,1,3,4,0,3,55,3,55,0,0,0,7,49,0,13,2765,2780
0,10322,1,15,0,0,0,0,0,0,5,4,0,1,6,0,36,0,0,0,0,138,0,15,6,1,0,0,3,1,1,3,2,0,0,36,1,36,0,0,0,3,138,0,12,3277,2780
1,10322,2,8,0,0,0,0,0,3,2,0,0,1,2,3,17,0,0,0,0,147,0,12,12,1,0,0,0,0,1,4,3,0,0,17,1,17,0,0,0,0,147,0,18,3277,2780
2,10322,3,19,1,0,0,0,0,3,4,1,0,1,59,6,3,0,0,0,0,211,0,25,29,1,0,0,1,1,3,13,6,0,1,3,4,3,0,0,0,1,211,0,36,3277,2780
0,10697,1,5,0,0,0,0,0,3,0,0,0,1,0,4,0,0,0,0,0,297,0,30,19,0,0,0,3,1,7,6,0,0,0,3,8,0,1,0,0,3,297,0,33,3277,3603
