,fight_id,round,KOL_blue,TDA_blue,SMA_blue,ST_blue,SSBA_blue,SSA_blue,SSHA_blue,SSHL_blue,SML_blue,SGHL_blue,GRC_blue,TDL_blue,SGHA_blue,SSBL_blue,SGA_blue,SGBA_blue,RVL_blue,KDL_blue,SGBL_blue,SUL_blue,FT_blue,KOL_red,TDA_red,SMA_red,ST_red,SSBA_red,SSA_red,SSHA_red,SSHL_red,SML_red,SGHL_red,GRC_red,TDL_red,SGHA_red,SSBL_red,SGA_red,SGBA_red,RVL_red,KDL_red,SGBL_red,SUL_red,FT_red,blue,red
0,8083,1,0,2,0,165,5,26,18,7,0,0,0,0,0,3,0,0,0,0,0,0,0,0,1,0,165,19,39,13,8,0,0,0,0,0,17,0,0,0,0,0,0,0,1347,2280
1,8083,2,0,2,0,259,7,38,22,7,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,259,14,64,25,4,0,0,0,0,0,9,0,0,0,0,0,0,0,1347,2280
2,8083,3,0,1,1,211,8,29,13,2,0,0,53,1,0,2,0,0,0,0,0,2,53,0,2,1,211,13,56,20,7,0,0,26,2,0,9,0,0,0,0,0,1,53,1347,2280
3,8083,4,0,2,0,224,17,38,16,5,0,0,0,0,0,4,0,0,0,0,0,1,0,0,2,0,224,14,78,41,15,0,0,3,1,0,10,0,0,0,0,0,0,0,1347,2280
4,8083,5,0,2,0,215,3,29,15,4,0,0,43,0,0,0,0,0,0,0,0,0,43,0,0,0,215,14,63,37,14,0,0,0,0,0,9,0,0,0,0,0,0,43,1347,2280
0,8427,1,0,0,0,265,3,28,18,4,0,0,0,0,0,2,0,0,0,0,0,1,0,0,1,0,265,2,17,13,2,0,1,35,1,1,1,1,0,0,0,0,0,0,1347,2338
1,8427,2,0,0,0,300,4,26,15,3,0,0,0,0,0,4,0,0,0,0,0,0,0,0,3,0,300,1,31,28,13,0,0,0,0,0,1,0,0,0,0,0,0,0,1347,2338
2,8427,3,0,0,0,289,9,44,27,8,0,0,0,0,0,7,0,0,0,0,0,0,0,0,6,0,289,5,54,46,18,0,0,0,0,0,4,0,0,0,0,0,0,0,1347,2338
0,6961,1,0,1,0,180,14,59,44,10,0,0,17,1,0,12,0,0,0,0,0,0,17,0,1,0,180,11,73,61,31,0,0,0,0,0,8,0,0,0,0,0,1,17,1347,2340
1,6961,2,0,2,0,70,5,28,22,6,0,0,232,1,0,5,2,2,0,0,2,0,232,0,0,0,70,6,25,19,5,0,2,0,0,2,6,2,0,0,0,0,1,232,1347,2340
2,6961,3,0,0,0,167,7,47,38,12,0,1,4,0,2,6,2,0,1,0,0,0,4,0,1,0,167,11,57,45,19,0,15,90,1,16,7,16,0,0,0,0,1,4,1347,2340
0,7425,1,0,0,0,299,7,33,22,9,0,0,0,0,0,6,0,0,0,0,0,0,0,0,1,0,299,19,51,24,6,0,0,0,0,0,12,0,0,0,0,0,0,0,1347,2343
1,7425,2,0,1,0,130,8,17,9,6,0,10,168,0,10,7,13,3,0,0,3,1,0,0,2,0,130,7,17,7,1,0,1,0,1,2,6,2,0,0,0,0,0,0,1347,2343
2,7425,3,0,3,0,184,11,29,17,9,0,13,0,0,15,10,15,0,0,0,0,0,117,0,1,0,184,10,29,17,6,0,1,117,0,1,8,1,0,0,0,0,0,117,1347,2343
0,6544,1,0,1,0,73,3,19,7,3,0,1,50,1,1,2,1,0,0,0,0,2,50,0,1,0,73,3,18,13,5,0,6,166,1,7,3,7,0,1,0,0,0,50,1347,2344
1,6544,2,0,0,0,69,2,13,6,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,1,69,2,15,11,4,1,27,89,0,32,0,32,0,0,1,0,0,0,1347,2344
0,8697,1,0,4,0,285,6,57,39,7,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,285,11,56,44,14,0,0,0,0,0,11,0,0,0,0,0,0,0,1347,2352
1,8697,2,0,5,0,297,16,78,56,16,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,297,14,62,47,20,0,0,0,0,0,12,0,0,0,0,0,0,0,1347,2352
2,8697,3,0,1,0,90,3,27,23,4,0,5,210,1,7,3,7,0,0,0,0,0,0,0,0,0,90,3,21,18,8,0,1,0,0,1,2,1,0,0,0,0,1,0,1347,2352
3,8697,4,0,5,0,285,12,58,40,14,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,285,13,46,32,13,0,0,0,0,0,8,0,0,0,0,0,0,0,1347,2352
4,8697,5,0,3,0,300,22,97,69,19,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,300,22,75,52,26,0,0,0,0,0,12,0,0,0,0,0,0,0,1347,2352
0,7136,1,0,1,0,202,6,29,13,5,0,6,87,1,7,4,7,0,0,0,0,0,1,0,0,0,202,4,38,29,9,0,0,1,0,0,3,0,0,0,0,0,1,1,1347,2603
1,7136,2,0,1,0,133,1,15,9,5,0,5,165,1,6,1,6,0,0,0,0,0,0,0,0,2,133,2,23,19,6,0,2,0,0,2,2,2,0,0,0,0,1,0,1347,2603
2,7136,3,0,2,0,154,8,24,11,6,0,3,74,1,3,8,3,0,0,0,0,0,44,0,1,1,154,2,30,26,2,0,3,44,0,3,2,3,0,0,0,0,1,44,1347,2603
0,7692,1,0,1,0,280,9,62,42,7,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,280,11,58,25,5,0,0,0,0,0,8,0,0,0,0,0,0,0,1347,2678
1,7692,2,0,1,1,119,7,29,13,3,0,4,164,1,4,5,6,1,0,0,1,0,177,0,0,0,119,3,20,13,5,0,0,3,0,0,2,2,2,0,0,2,1,177,1347,2678
2,7692,3,0,2,0,239,9,51,33,11,0,0,27,1,1,6,1,0,0,0,0,0,27,0,0,0,239,11,38,23,6,0,0,0,0,0,8,0,0,0,0,0,1,27,1347,2678
0,9920,1,0,1,0,242,4,34,15,3,0,2,53,1,2,2,2,0,0,0,0,1,5,0,0,0,242,3,23,13,6,0,0,5,0,0,1,0,0,1,0,0,0,5,1347,2908
1,9920,2,0,1,0,93,6,20,7,2,0,0,15,0,0,5,0,0,0,0,0,0,0,0,0,1,93,2,12,10,5,1,0,0,0,0,2,0,0,0,0,0,0,0,1347,2908
0,9150,1,0,1,0,300,9,37,18,6,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,300,8,51,31,9,0,0,0,0,0,4,0,0,0,0,0,0,0,1347,3168
1,9150,2,0,2,0,257,7,40,26,8,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,257,8,63,39,12,0,0,0,0,0,6,0,0,0,0,0,0,0,1347,3168
2,9150,3,0,0,0,292,8,43,24,9,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,292,10,78,59,25,0,0,0,0,0,7,0,0,0,0,0,0,0,1347,3168
3,9150,4,0,1,0,104,3,13,8,3,0,7,194,1,11,2,11,0,0,0,0,0,196,0,0,0,104,1,22,15,1,0,0,0,0,0,1,0,0,0,0,0,1,196,1347,3168
4,9150,5,0,1,0,300,11,61,42,10,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,300,14,68,44,13,0,0,0,0,0,10,0,0,0,0,0,0,0,1347,3168
5,10857,1,0,5,0,147,4,14,9,3,0,2,86,1,6,4,6,0,0,0,0,1,86,0,1,0,147,19,75,56,38,0,0,23,1,0,13,0,0,0,0,0,1,86,1347,3168
6,10857,2,0,1,0,106,3,12,8,2,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,106,11,21,8,4,0,5,9,0,6,9,6,0,0,0,0,0,0,1347,3168
0,10408,1,0,0,0,300,11,67,39,5,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,300,6,43,29,5,0,0,0,0,0,4,0,0,0,0,0,0,0,1347,3572
1,10408,2,0,0,0,300,7,62,43,9,0,0,0,0,0,4,0,0,0,0,0,0,0,0,2,0,300,7,50,34,9,0,0,0,0,0,5,0,0,0,0,0,0,0,1347,3572
2,10408,3,0,2,0,239,16,59,32,4,0,0,5,1,0,8,0,0,0,0,0,0,0,0,3,0,239,8,29,16,2,0,0,0,0,0,6,0,0,0,0,0,1,0,1347,3572
0,6578,1,0,0,0,267,12,60,27,13,0,0,0,0,0,12,0,0,0,0,0,1,28,0,3,0,267,5,30,20,7,0,0,28,1,0,4,0,0,0,0,0,0,28,2280,2079
1,6578,2,0,0,0,299,11,77,44,21,0,0,0,0,0,8,0,0,0,0,0,1,2,0,3,0,299,13,53,35,12,0,0,2,1,0,2,0,0,0,0,0,0,2,2280,2079
2,6578,3,0,0,0,301,13,73,42,18,0,0,0,0,0,12,0,0,0,0,0,0,0,0,3,0,301,8,44,31,6,0,0,0,0,0,4,0,0,0,0,0,0,0,2280,2079
3,6578,4,0,0,0,300,13,65,39,19,0,0,0,0,0,8,0,0,0,0,0,0,0,0,1,0,300,3,22,17,5,0,1,0,0,1,2,1,0,0,0,0,0,0,2280,2079
4,6578,5,0,0,0,292,14,77,59,30,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,292,6,68,59,20,0,0,0,0,0,3,0,0,0,0,0,0,0,2280,2079
0,6038,1,0,0,0,199,4,47,35,8,0,0,0,0,0,4,0,0,0,0,0,3,82,0,3,0,199,1,33,30,10,0,1,82,2,3,1,4,1,0,1,1,0,82,2280,2277
1,6038,2,0,1,0,199,4,21,16,6,0,0,16,1,0,4,0,0,0,0,0,1,82,0,6,0,199,0,10,10,4,0,5,82,1,5,0,5,0,0,0,0,1,82,2280,2277
2,6038,3,0,1,0,237,9,75,56,22,0,0,9,0,0,8,1,1,0,0,1,1,39,0,1,0,237,3,30,26,16,0,0,39,1,0,2,0,0,0,0,0,0,39,2280,2277
3,6038,4,0,0,0,300,14,109,80,44,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,300,4,38,34,11,0,0,0,0,0,0,0,0,0,0,0,0,0,2280,2277
