,fight_id,round,FT_blue,SUL_blue,SGBL_blue,SSHL_blue,SGHL_blue,SML_blue,TDA_blue,SMA_blue,SGA_blue,SGBA_blue,SSBL_blue,SSBA_blue,SSHA_blue,ST_blue,GRC_blue,KDL_blue,KOL_blue,SSA_blue,TDL_blue,RVL_blue,SGHA_blue,FT_red,SUL_red,SGBL_red,SSHL_red,SGHL_red,SML_red,TDA_red,SMA_red,SGA_red,SGBA_red,SSBL_red,SSBA_red,SSHA_red,ST_red,GRC_red,KDL_red,KOL_red,SSA_red,TDL_red,RVL_red,SGHA_red,blue,red
0,6104,1,13,0,0,31,3,0,3,0,3,0,8,8,64,195,13,0,1,75,1,0,3,13,0,0,9,0,0,1,0,0,0,2,2,38,195,14,0,0,41,0,0,0,890,532
0,5787,1,52,0,0,0,0,0,5,0,0,0,2,2,6,247,52,0,0,10,3,0,0,52,3,0,3,0,0,0,0,0,0,7,9,13,247,0,0,0,23,0,0,0,890,1069
1,5787,2,0,0,0,7,0,0,4,0,0,0,4,7,31,301,0,0,0,44,0,0,0,0,0,0,17,0,0,0,0,0,0,2,6,43,301,0,0,0,55,0,0,0,890,1069
2,5787,3,113,0,0,10,3,0,6,0,4,0,6,9,20,187,113,0,0,32,3,0,4,113,3,0,13,0,0,0,0,0,0,4,5,23,187,0,0,0,31,0,0,0,890,1069
0,6593,1,0,0,0,9,0,0,1,0,0,0,7,9,44,300,0,0,0,55,0,0,0,0,0,0,19,0,0,0,0,0,0,5,8,62,300,0,0,0,75,0,0,0,890,1595
1,6593,2,0,0,0,20,3,0,3,0,3,0,4,4,64,167,22,0,0,69,1,0,3,0,1,0,42,0,0,0,2,0,0,2,3,66,167,0,0,0,69,0,0,0,890,1595
2,7281,1,0,0,0,5,0,0,2,0,0,0,9,12,29,299,0,0,0,47,0,0,0,0,0,0,13,0,0,0,0,0,0,1,2,53,299,0,0,0,63,0,0,0,890,1595
3,7281,2,1,0,0,1,4,0,1,1,6,0,1,3,18,96,131,0,0,23,0,0,6,1,0,0,31,0,0,0,2,0,0,3,4,48,96,1,1,1,52,0,0,0,890,1595
0,6940,1,2,0,0,27,0,0,1,0,0,0,12,19,100,293,6,0,0,123,0,0,0,2,0,0,21,1,0,0,0,3,0,2,2,69,293,2,0,0,86,0,0,3,890,2896
1,6940,2,0,0,0,52,0,0,0,0,0,0,18,22,128,300,0,0,0,154,0,0,0,0,0,0,31,0,0,1,0,0,0,11,12,73,300,0,0,0,94,0,0,0,890,2896
2,6940,3,4,0,0,31,3,0,1,0,3,0,6,8,68,224,4,1,1,76,1,0,3,4,1,0,16,0,0,0,0,0,0,3,3,35,224,4,0,0,54,0,0,0,890,2896
0,5678,1,0,0,0,15,6,0,0,0,11,0,4,4,28,57,9,0,1,33,0,0,11,0,0,0,2,0,0,1,0,0,0,1,1,5,57,0,0,0,7,0,0,0,532,1076
0,6247,1,0,0,0,14,1,0,1,0,3,0,3,3,36,271,29,0,0,46,0,0,3,0,0,0,11,0,0,0,0,0,0,2,4,49,271,0,0,0,62,0,0,0,532,1815
1,6247,2,0,0,0,14,0,0,1,0,0,0,3,8,55,300,0,0,0,65,0,0,0,0,0,0,27,0,0,0,0,0,0,12,14,75,300,0,0,0,100,0,0,0,532,1815
2,6247,3,0,0,0,23,0,0,1,0,1,0,5,7,51,300,0,0,0,60,0,0,1,0,0,0,28,0,0,0,0,0,0,5,10,60,300,0,0,0,81,0,0,0,532,1815
3,6247,4,0,0,0,13,0,0,2,0,0,0,6,7,43,299,1,0,0,52,0,0,0,0,0,0,26,0,0,2,0,0,0,8,11,65,299,0,0,0,83,0,0,0,532,1815
4,6247,5,0,0,0,19,0,0,0,0,0,0,1,8,34,300,0,0,0,49,0,0,0,0,0,0,34,0,0,0,0,0,0,1,3,63,300,0,0,0,75,0,0,0,532,1815
0,9859,1,0,0,0,5,0,0,2,0,0,0,2,3,19,172,0,0,0,26,0,0,0,0,0,0,8,0,0,0,0,0,0,6,15,26,172,0,0,0,41,0,0,0,532,3078
1,9859,2,1,0,0,10,0,0,2,0,0,0,7,7,26,268,0,0,0,36,0,0,0,1,0,0,6,0,0,1,0,0,0,9,15,27,268,1,0,0,44,0,0,0,532,3078
2,9859,3,0,0,0,6,0,0,6,0,0,0,2,3,16,194,5,0,0,22,1,0,0,0,1,0,7,0,0,0,0,0,0,8,10,26,194,0,0,0,38,0,0,0,532,3078
3,9859,4,0,0,0,9,0,0,6,0,0,0,1,1,17,192,77,0,0,23,1,0,0,0,1,0,7,0,0,0,0,0,0,4,9,17,192,0,0,0,27,0,0,0,532,3078
4,9859,5,3,0,0,1,0,0,0,0,0,0,0,0,2,15,0,0,0,3,0,0,0,3,0,0,3,1,0,0,0,2,0,0,3,4,15,3,1,1,7,0,0,2,532,3078
0,8426,1,49,1,2,7,0,0,0,0,2,2,2,6,13,251,0,0,0,25,0,0,0,49,0,0,10,0,0,2,0,0,0,5,5,23,251,49,0,0,31,1,0,0,1069,1076
1,8426,2,30,1,0,13,0,0,1,0,0,0,4,6,28,270,0,0,0,38,0,0,0,30,0,0,8,0,0,2,0,0,0,5,7,38,270,30,0,0,52,1,0,0,1069,1076
2,8426,3,0,0,0,24,0,0,0,0,0,0,2,4,43,300,0,0,0,48,0,0,0,0,0,0,13,0,0,4,0,0,0,8,10,51,300,0,0,0,65,0,0,0,1069,1076
0,6179,1,43,0,2,3,15,0,0,0,32,3,5,6,5,121,137,0,0,11,0,2,29,43,2,1,2,3,0,6,0,8,1,3,6,3,121,43,0,0,9,1,0,7,1069,1531
1,6179,2,73,0,0,19,1,0,0,0,1,0,5,10,28,197,29,0,0,38,0,2,1,73,2,0,15,1,0,3,0,2,0,12,19,41,197,73,0,0,61,1,0,2,1069,1531
2,6179,3,60,1,0,3,0,1,0,1,0,0,0,1,4,24,25,0,0,5,0,1,0,60,0,0,1,1,0,2,0,1,0,1,2,3,24,60,0,0,5,2,0,1,1069,1531
0,6903,1,4,0,0,14,0,0,0,1,0,0,2,4,24,187,4,0,0,30,0,1,0,4,1,2,26,2,0,2,0,4,2,3,4,54,187,109,0,0,59,1,0,2,1069,1595
1,6903,2,51,2,0,5,10,0,1,2,10,0,0,2,10,48,51,0,0,12,1,1,10,51,2,0,2,16,0,3,0,24,0,0,0,6,48,192,0,0,7,3,0,24,1069,1595
2,6903,3,0,0,0,0,0,0,0,1,0,0,1,1,1,26,0,0,0,2,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,6,26,81,0,1,6,1,0,0,1069,1595
